Gene	Patient06_BM	Patient06_CNS	Patient07_BM	Patient07_CNS	Patient08_BM	Patient08_CNS
RALB	44	36	68	21	74	17
INHBB	0	1	0	4	0	7
LINC01101	1	1	2	1	2	0
TFCP2L1	0	8	0	0	0	0
CLASP1	1666	1310	1196	1950	1122	2309
RNU4ATAC	3	2	1	4	1	6
NIFK-AS1	2	6	5	2	6	1
NIFK	74	9	59	13	56	14
TSN	2228	628	1486	1021	1375	1255
GYPC	7	16	22	3	27	2
BIN1	440	763	347	1014	332	1144
CYP27C1	1	1	1	0	1	0
ERCC3	688	823	559	1054	538	1171
MAP3K2	785	861	697	993	681	1055
PROC	0	1	0	1	0	1
IWS1	319	354	431	247	456	212
MYO7B	3	1	1	5	0	9
LIMS2	453	13	62	151	43	414
GPR17	1	2	0	7	0	12
SFT2D3	31	8	9	36	7	65
WDR33	1065	1201	1044	1231	1040	1243
POLR2D	21	13	19	16	18	16
AMMECR1L	3	0	1	3	0	5
SAP130	417	361	327	482	312	546
UGGT1	1184	561	940	739	900	831
HS6ST1	3	0	0	5	0	13
RAB6C-AS1	18	15	10	28	9	37
RAB6C	0	0	0	1	0	2
FAR2P1	0	0	0	1	0	2
MED15P9	1	1	1	0	1	0
CCDC74B	0	0	0	0	0	0
SMPD4	1415	438	705	1011	617	1442
MZT2B	1	1	1	1	1	1
TUBA3E	0	2	0	0	0	0
CCDC115	109	109	64	205	58	267
IMP4	0	0	0	0	0	1
PTPN18	489	337	304	597	277	761
FAR2P2	11	30	6	57	5	74
CYP4F30P	1	1	1	0	1	0
AMER3	1	1	1	0	1	0
ARHGEF4	2	0	0	0	0	0
FAM168B	1018	335	555	694	495	945
PLEKHB2	1736	2601	1870	2379	1897	2291
POTEE	1	1	1	0	1	0
LOC440910	0	0	0	0	0	1
WTH3DI	0	0	1	0	1	0
LOC401010	0	0	0	0	0	1
TUBA3D	0	3	0	0	0	0
MZT2A	16	31	9	64	8	87
MIR4784	0	2	0	2	0	2
LOC150776	123	433	148	346	153	315
CCDC74A	0	0	0	0	0	0
C2orf27A	0	0	0	0	0	0
NCKAP5	0	0	1	0	1	0
MIR7853	0	1	0	0	0	0
LOC101928161	0	0	0	0	0	0
MIR3679	31	38	15	90	13	130
MGAT5	473	345	458	358	456	364
TMEM163	116	3	15	43	10	120
ACMSD	0	1	0	1	0	1
CCNT2-AS1	1	0	0	1	0	2
CCNT2	1313	1902	1570	1535	1625	1402
MAP3K19	65	88	95	56	102	46
RAB3GAP1	827	477	548	780	507	961
ZRANB3	0	0	0	0	0	0
R3HDM1	1491	619	2328	362	2534	288
MIR128-1	0	0	0	0	0	0
UBXN4	1354	1098	1427	1031	1441	1004
LCT	15	16	13	17	13	18
LOC100507600	1	0	0	1	0	2
MCM6	19	15	51	4	61	2
DARS	410	243	441	223	447	215
DARS-AS1	4	0	1	1	0	2
CXCR4	5098	730	2819	1486	2518	2009
THSD7B	0	0	0	0	0	0
HNMT	58	29	57	30	56	30
SPOPL	6	2	1	10	1	19
YY1P2	3	2	2	3	2	3
KYNU	2	0	2	0	3	0
ARHGAP15	229	231	213	251	211	260
LOC101928386	4	6	10	2	11	1
GTDC1	491	663	600	522	624	471
ZEB2	3655	2989	3382	3281	3332	3413
ZEB2-AS1	0	1	1	0	1	0
LINC01412	0	0	0	0	0	0
TEX41	31	76	161	10	220	4
PABPC1P2	1	1	2	1	2	0
ACVR2A	6	354	42	43	58	17
ORC4	3744	17009	7596	7282	8693	5077
MBD5	254	70	130	156	115	220
EPC2	3	1	1	2	1	3
KIF5C	0	0	0	0	0	0
MMADHC	715	115	524	167	494	196
LOC101929231	3	4	4	3	4	3
RND3	1	4	4	1	5	0
LOC101929260	1	1	1	0	1	0
RBM43	129	32	89	50	83	61
NMI	166	135	259	79	282	63
TNFAIP6	0	7	2	0	3	0
RIF1	494	643	606	503	630	453
NEB	45	137	59	100	62	87
ARL5A	17	7	11	12	11	15
CACNB4	0	0	0	0	0	0
STAM2	605	224	688	192	705	179
FMNL2	169	56	202	45	208	41
PRPF40A	582	714	688	584	710	536
ARL6IP6	48	27	25	59	22	81
KCNJ3	1	1	2	1	2	0
NR4A2	250	286	117	714	101	1053
GPD2	95	65	56	122	51	159
GALNT5	2	6	6	2	7	1
ERMN	4	2	0	11	0	21
CYTIP	944	522	505	1105	448	1520
ACVR1C	3	4	6	1	7	1
ACVR1	1	0	0	1	0	2
CCDC148	0	0	0	0	0	0
PKP4	138	163	386	47	469	27
TANC1	0	11	1	1	2	0
WDSUB1	22	8	12	17	10	24
BAZ2B	2489	3400	3392	2346	3598	2004
LOC643072	0	1	0	0	1	0
MARCH7	2105	1373	1234	2606	1114	3421
LY75	130	25	81	44	74	56
PLA2R1	26	20	14	41	12	55
RBMS1	284	276	235	345	227	380
MIR4785	0	0	0	0	0	1
TANK	30	30	18	55	16	72
LOC101929512	3	10	3	8	4	7
LOC100996579	0	0	0	0	1	0
PSMD14	100	93	191	43	216	30
TBR1	0	0	0	1	0	2
AHCTF1P1	0	0	2	0	3	0
SLC4A10	0	2	0	0	0	0
DPP4	0	0	0	0	0	0
IFIH1	348	218	483	147	514	124
GCA	64	184	139	72	161	48
KCNH7	0	2	1	0	1	0
GRB14	3	4	6	1	7	1
COBLL1	2	0	6	0	7	0
SNORA70F	0	0	0	0	0	0
LOC101929633	0	0	0	0	0	0
SLC38A11	3	4	6	1	7	1
SCN3A	1	0	1	0	1	0
CSRNP3	0	0	0	0	0	0
GALNT3	0	0	0	0	0	0
LOC100506124	0	0	0	0	0	0
TTC21B	339	578	632	274	712	199
TTC21B-AS1	0	0	0	0	0	0
SCN9A	0	6	1	0	2	0
XIRP2	1	0	1	0	2	0
B3GALT1	1	1	2	1	2	0
STK39	35	12	10	56	7	105
CERS6	303	81	100	309	81	545
MIR4774	0	1	0	0	0	0
CERS6-AS1	0	0	0	0	0	1
NOSTRIN	3	0	1	1	1	1
SPC25	172	482	353	203	405	140
DHRS9	130	292	82	506	75	639
LRP2	1	1	1	1	1	1
BBS5	99	272	89	309	88	326
FASTKD1	5	21	8	13	9	11
PPIG	337	217	384	186	393	174
CCDC173	1	0	0	0	0	0
PHOSPHO2	0	0	0	0	0	1
KLHL23	1	1	1	1	1	1
SSB	1165	553	1417	437	1470	396
METTL5	4	3	5	2	5	2
UBR3	1878	1638	1659	1901	1620	2025
MYO3B	0	0	0	0	0	1
GAD1	1	0	0	1	0	4
GORASP2	470	246	459	253	457	256
TLK1	2863	2775	4080	1815	4365	1515
METTL8	148	121	135	136	132	143
DCAF17	204	93	132	156	122	195
CYBRD1	60	114	139	41	163	27
DYNC1I2	80	33	63	43	61	48
SLC25A12	42	24	22	51	20	70
HAT1	164	44	169	42	170	41
METAP1D	0	0	0	0	0	1
DLX2	0	0	0	2	0	4
ITGA6	1883	4842	1008	10235	895	14070
PDK1	517	657	664	487	697	428
RAPGEF4-AS1	2	2	1	2	1	2
RAPGEF4	2	0	0	2	0	3
ZAK	20	7	28	5	30	4
MLK7-AS1	0	1	0	0	0	0
CDCA7	43	24	81	11	91	8
SP3	376	168	223	316	201	412
OLA1	125	37	205	20	225	15
SP9	1	1	1	0	1	0
CIR1	214	254	523	86	620	54
SCRN3	16	12	27	6	30	5
GPR155	26	155	22	187	22	202
WIPF1	2025	1337	2091	1287	2104	1266
CHN1	3	0	0	2	0	4
ATF2	85	89	79	97	78	100
MIR933	0	0	0	0	0	0
ATP5G3	763	298	600	398	573	450
KIAA1715	1361	570	1365	568	1365	567
HAGLR	1	1	1	0	1	0
MTX2	0	0	0	0	0	0
HNRNPA3	2347	942	2592	836	2641	795
NFE2L2	2294	3391	2305	3372	2307	3364
MIR3128	2	0	1	0	1	1
LOC100130691	9	12	6	18	6	21
MIR6512	0	1	0	0	0	0
AGPS	85	47	68	61	66	69
TTC30B	3	0	0	0	0	1
TTC30A	3	0	0	0	0	0
PDE11A	1	1	1	0	1	0
RBM45	14	13	10	20	9	23
OSBPL6	131	118	141	107	143	103
LOC101927027	104	56	122	46	126	42
PRKRA	87	78	50	151	45	200
DFNB59	4	12	7	6	8	5
FKBP7	46	7	62	5	65	4
PLEKHA3	14	2	2	22	1	51
TTN-AS1	76	234	136	117	152	87
TTN	365	836	692	388	782	280
CCDC141	0	0	0	0	0	0
SESTD1	187	168	210	146	215	137
ZNF385B	0	0	0	0	0	0
CWC22	134	65	77	126	70	166
UBE2E3	21	16	27	12	28	10
LOC101927156	0	19	3	5	3	3
MIR4437	0	0	0	0	0	0
ITGA4	1086	804	1109	784	1113	776
CERKL	7	7	16	2	18	1
SSFA2	90	107	62	168	57	204
PDE1A	2	2	3	1	3	1
DNAJC10	728	335	663	374	652	392
NCKAP1	1	15	1	11	1	10
DUSP19	0	0	0	0	0	0
NUP35	13	17	20	10	21	8
ZNF804A	1	0	1	0	1	0
FSIP2	0	0	0	0	0	1
LINC01473	0	4	0	0	0	0
ZC3H15	705	259	789	226	807	213
ITGAV	0	0	0	0	0	0
CALCRL	0	0	0	0	0	0
TFPI	215	85	740	19	935	9
COL3A1	5	2	8	1	9	0
COL5A2	2	0	0	2	0	7
WDR75	846	802	1037	629	1078	567
SLC40A1	3	1	11	0	15	0
ASNSD1	92	102	171	48	193	35
ANKAR	11	37	20	18	22	13
OSGEPL1	206	232	317	139	344	111
OSGEPL1-AS1	1	2	1	2	1	2
ORMDL1	905	1876	1188	1354	1251	1179
PMS1	144	96	119	121	115	133
MSTN	0	0	0	0	0	0
C2orf88	2	14	9	3	12	1
HIBCH	18	13	24	9	26	8
INPP1	23	32	3	254	2	605
MFSD6	660	418	518	560	494	633
NEMP2	9	10	12	7	12	6
NAB1	212	73	167	98	159	111
GLS	533	408	388	596	366	701
STAT1	1951	860	1372	1312	1283	1570
STAT4	2	35	5	12	6	8
MYO1B	725	836	198	3953	154	7650
NABP1	18	353	70	70	90	35
LOC105747689	0	1	0	0	0	0
SLC39A10	267	76	203	106	192	123
DNAH7	35	527	25	759	24	886
STK17B	3534	1455	3795	1336	3847	1288
HECW2	20	2	8	7	7	11
LOC101927482	0	0	0	0	0	0
CCDC150	134	4	21	46	15	118
GTF3C3	80	58	67	71	65	78
PGAP1	80	1702	379	268	509	122
ANKRD44	419	658	385	729	378	762
ANKRD44-IT1	5	11	3	22	2	29
SF3B1	4747	5022	4255	5726	4167	6054
COQ10B	29	10	38	7	40	6
HSPD1	1744	765	1917	683	1952	651
HSPE1	11	9	50	1	66	0
MOB4	0	0	0	0	0	0
RFTN2	0	0	0	0	0	0
MARS2	0	0	0	1	0	1
PLCL1	0	0	0	0	0	1
SATB2	1	1	1	0	1	0
FTCDNL1	2	0	1	0	0	0
C2orf69	129	88	86	144	80	177
TYW5	34	39	59	20	65	15
C2orf47	24	2	16	4	14	5
SPATS2L	41	661	103	219	123	137
KCTD18	28	12	17	23	15	30
SGOL2	36	7	46	5	49	4
AOX1	4	0	2	0	2	0
AOX2P	67	85	52	116	49	133
LOC100507140	23	36	29	28	30	25
LOC101927795	0	2	0	0	1	0
BZW1	1624	1023	1256	1393	1196	1587
CLK1	1640	2613	1985	2078	2059	1886
PPIL3	182	54	95	119	84	166
NIF3L1	7	3	9	2	10	1
ORC2	35	54	87	18	103	11
FAM126B	150	271	146	279	146	282
NDUFB3	45	49	108	17	127	11
CFLAR	796	2239	1168	1415	1256	1165
CFLAR-AS1	7	52	17	18	21	11
CASP10	17	22	30	11	33	8
CASP8	172	380	294	200	326	152
ALS2CR12	4	36	22	4	30	1
TRAK2	8	5	6	8	6	9
STRADB	574	284	368	484	338	606
ALS2CR11	0	0	0	0	0	0
TMEM237	1	0	0	2	0	4
MPP4	0	0	0	0	0	1
ALS2	69	93	70	92	70	92
FZD7	0	0	0	2	0	4
KIAA2012	0	1	0	0	0	0
SUMO1	31	22	56	11	63	8
NOP58	818	656	1052	485	1104	426
SNORD70	1	0	0	0	0	0
SNORD11B	4	2	6	1	7	1
SNORD11	1	0	0	0	0	0
BMPR2	121	154	66	317	59	430
FAM117B	577	550	728	416	761	369
ICA1L	65	115	53	146	51	162
WDR12	12	4	16	2	17	2
CARF	53	28	17	103	14	179
NBEAL1	196	344	345	175	385	131
CYP20A1	2512	1258	1612	2141	1482	2684
ABI2	834	690	766	764	754	798
RAPH1	25	146	26	134	27	130
CD28	0	2	0	0	0	0
CTLA4	0	2	0	0	0	0
ICOS	0	0	0	0	0	0
NRP2	0	0	0	0	0	0
INO80D	816	794	1201	500	1292	411
GCSHP3	0	0	0	0	0	0
NDUFS1	759	419	740	432	736	438
EEF1B2	1492	454	1628	409	1655	391
SNORD51	0	0	0	0	0	0
SNORA41	0	0	0	0	0	0
GPR1	26	8	45	4	50	3
ZDBF2	31	122	10	441	8	760
ADAM23	3	3	2	3	2	3
DYTN	0	0	0	0	0	0
MDH1B	1	0	0	0	0	0
FASTKD2	112	151	248	58	289	38
KLF7	495	1302	438	1507	428	1604
MIR2355	0	0	0	0	0	1
MIR7845	0	0	0	1	0	2
LOC101927865	1	0	0	0	0	1
CREB1	1036	767	976	824	965	850
METTL21A	951	5389	1682	2721	1876	2035
CCNYL1	8	5	5	10	4	13
FZD5	175	32	53	138	42	254
PLEKHM3	691	397	590	480	572	520
IDH1	8	6	14	3	16	2
IDH1-AS1	0	0	0	0	0	0
PIKFYVE	441	426	529	343	548	312
PTH2R	0	0	0	0	0	0
MAP2	0	0	0	0	0	0
UNC80	0	0	0	0	0	0
RPE	833	578	750	656	735	692
KANSL1L	259	221	315	175	327	159
LOC101928020	31	31	22	48	20	58
ACADL	1	1	1	0	1	0
LANCL1-AS1	0	0	0	0	0	0
LANCL1	62	20	37	38	33	50
CPS1	2	0	1	0	1	0
LOC102725079	0	1	0	0	0	0
IKZF2	10	2	5	6	5	8
LOC100130451	0	2	0	1	0	1
SPAG16	23	1	7	6	6	11
VWC2L	0	0	0	0	0	0
VWC2L-IT1	0	0	0	0	0	0
BARD1	45	12	21	31	18	46
LOC101928103	0	0	0	0	0	1
ABCA12	6	21	11	10	12	7
ATIC	162	64	287	32	320	23
FN1	5	171	112	5	193	0
LINC00607	4	5	10	2	12	1
MREG	0	4	0	5	0	5
PECR	0	1	0	0	0	0
TMEM169	0	0	0	0	0	0
XRCC5	3509	1968	4471	1472	4683	1301
PKI55	208	39	77	131	63	218
SMARCAL1	87	62	77	73	75	78
RPL37A	2173	1342	2917	943	3086	811
IGFBP2	9	0	1	6	0	14
IGFBP5	6	10	14	4	16	2
DIRC3	17	13	12	20	11	24
TNS1	130	157	129	160	128	161
RUFY4	18	6	8	15	7	22
CXCR2P1	75	37	60	49	57	56
CXCR2	0	5	0	0	0	0
CXCR1	0	29	3	0	6	0
ARPC2	2005	1209	1708	1465	1657	1590
GPBAR1	0	0	0	1	0	1
AAMP	188	182	72	576	60	938
PNKD	270	200	261	208	260	211
TMBIM1	1140	1610	776	2553	721	3106
MIR6513	0	0	0	0	0	1
CATIP	0	0	0	2	0	3
CATIP-AS1	0	0	0	1	0	2
SLC11A1	46	483	76	270	83	211
CTDSP1	95	198	187	88	213	62
VIL1	1	0	0	1	0	2
USP37	226	224	369	125	404	97
RQCD1	1451	1337	2500	696	2774	527
PLCD4	37	8	6	70	4	170
ZNF142	128	159	220	83	244	63
BCS1L	120	145	67	289	60	388
RNF25	2	0	0	3	0	10
STK36	13	14	5	42	4	65
TTLL4	21	39	25	32	26	29
CYP27A1	0	3	0	0	0	0
WNT6	0	0	0	0	0	0
WNT10A	0	0	0	1	0	2
CDK5R2	0	0	0	0	0	1
LOC100129175	1	1	1	0	1	0
CCDC108	1	1	1	0	1	0
MIR3131	0	0	0	0	0	0
NHEJ1	14	17	40	4	50	2
SLC23A3	0	3	0	0	0	0
CNPPD1	828	928	913	826	930	786
FAM134A	239	322	271	277	278	260
ZFAND2B	23	67	47	28	54	19
ABCB6	0	3	1	2	1	2
ATG9A	526	756	675	560	708	493
ANKZF1	266	735	395	458	425	375
GLB1L	5	1	4	2	4	3
STK16	2	0	0	2	0	6
TUBA4A	1008	2427	1011	2418	1012	2415
TUBA4B	1	2	0	11	0	21
DNAJB2	112	154	165	96	178	79
PTPRN	1	1	1	1	1	1
DNPEP	403	389	204	877	179	1240
SPEG	0	5	0	2	0	1
LOC100996693	1	1	1	0	1	0
GMPPA	0	0	0	1	0	2
ASIC4	0	0	0	0	0	1
CHPF	1	0	0	2	0	5
OBSL1	1	0	0	15	0	45
STK11IP	69	76	48	116	45	139
SLC4A3	123	116	77	202	71	256
EPHA4	16	323	13	416	12	463
SGPP2	0	0	0	0	0	0
FARSB	445	477	696	279	757	222
MOGAT1	0	3	0	1	0	0
ACSL3	57	42	20	146	16	248
AP1S3	0	0	0	0	0	0
WDFY1	61	124	98	70	107	55
MRPL44	23	7	29	5	31	4
SERPINE2	0	2	0	4	0	5
FAM124B	1	0	0	1	0	2
CUL3	374	277	337	314	330	332
DOCK10	2728	2086	3109	1783	3188	1668
NYAP2	13	25	16	20	16	18
IRS1	2	0	1	0	1	0
RHBDD1	73	88	165	33	193	22
COL4A4	11	14	7	22	7	26
COL4A3	0	2	0	0	0	0
LOC654841	0	0	0	1	0	1
MFF	748	403	343	1027	296	1528
TM4SF20	0	1	0	0	0	0
AGFG1	2072	1818	1779	2183	1728	2360
DAW1	1	1	1	0	1	0
PID1	2	5	3	3	3	2
TRIP12	2201	1631	2163	1666	2155	1681
FBXO36	9	2	7	3	7	4
SLC16A14	1	114	7	25	9	13
SP110	2604	2846	3560	1956	3778	1668
SP140	120	605	58	1441	50	2083
SP140L	349	412	356	403	358	399
SP100	3414	7260	4633	5035	4911	4309
LOC151475	0	2	0	3	0	4
CAB39	748	410	680	460	668	482
ITM2C	65	7	7	102	4	312
LOC151484	0	0	0	0	0	0
GPR55	1	0	1	0	0	0
PSMD1	406	221	481	180	496	165
HTR2B	6	12	11	6	12	5
ARMC9	0	0	0	0	0	0
B3GNT7	0	0	1	0	1	0
NCL	4035	1398	3761	1522	3711	1577
SNORA75	1	0	0	1	0	4
SNORD20	0	0	0	0	0	0
SNORD82	0	0	0	0	0	0
LINC00471	11	4	12	3	12	3
NMUR1	2	1	3	0	3	0
C2orf57	0	0	0	0	0	0
PTMA	5097	1528	5756	1321	5891	1242
PDE6D	3	0	0	2	0	5
COPS7B	33	78	87	24	105	14
NPPC	2	0	0	1	0	4
DIS3L2	358	1074	616	561	683	426
ALPP	1	1	2	1	2	0
ALPPL2	0	0	0	0	0	0
ECEL1	0	0	0	2	0	4
CHRND	1	1	1	0	1	0
CHRNG	0	6	3	1	3	0
TIGD1	4207	1332	2569	2408	2338	3096
EIF4E2	326	358	408	273	426	244
GIGYF2	1157	1679	1378	1361	1425	1245
KCNJ13	0	6	1	2	1	1
NGEF	0	0	0	0	0	1
INPP5D	2393	3246	1899	4282	1817	4818
ATG16L1	47	58	13	245	11	450
SCARNA5	1	3	3	1	3	0
SCARNA6	0	0	0	0	0	0
SAG	1	0	0	1	0	2
DGKD	1021	1360	542	2903	481	4006
USP40	720	920	740	890	744	877
HJURP	2	0	2	0	2	0
MSL3P1	0	0	0	0	0	0
TRPM8	1	1	1	0	1	0
ARL4C	33	124	17	265	15	366
SH3BP4	1	0	0	0	0	0
AGAP1	0	18	0	17	0	17
GBX2	1	1	1	0	1	0
IQCA1	1	1	1	0	1	0
ACKR3	119	2	2	234	1	1477
COPS8	222	154	195	180	190	193
COL6A3	2	3	5	1	5	0
RAB17	86	101	79	113	78	119
LRRFIP1	2772	1919	2465	2210	2410	2346
RBM44	0	0	0	0	0	0
RAMP1	0	0	0	3	0	4
UBE2F	83	31	50	58	45	75
SCLY	0	0	0	0	0	1
ESPNL	1	2	0	9	0	16
KLHL30	1	2	0	4	0	5
FAM132B	6	1	4	2	3	3
ILKAP	91	152	101	134	103	127
LOC151174	1	0	0	0	0	1
LOC643387	1	1	3	0	4	0
HES6	4	1	3	2	2	3
PER2	496	389	1006	166	1151	116
TRAF3IP1	49	44	49	45	49	45
ASB1	5	16	12	6	14	4
HDAC4	60	56	23	171	19	273
MIR4441	0	0	0	0	0	0
MGC16025	0	2	0	0	0	0
MIR2467	0	1	0	0	0	0
MIR4786	0	0	0	0	0	0
NDUFA10	888	591	607	932	564	1132
OR6B2	1	1	1	0	1	0
MYEOV2	10	6	9	6	9	6
GPC1	0	0	0	1	0	1
PP14571	9	2	2	14	1	27
ANKMY1	11	30	7	48	7	59
DUSP28	0	0	0	0	0	1
RNPEPL1	369	221	122	826	99	1446
CAPN10-AS1	0	3	0	4	0	4
CAPN10	30	19	6	122	4	268
GPR35	0	1	0	1	0	1
KIF1A	7	17	4	30	4	38
LOC200772	2	0	1	0	1	0
SNED1	1	11	4	3	5	1
MTERF4	111	109	57	243	50	341
PASK	3	1	1	3	1	4
PPP1R7	11	11	17	6	19	5
ANO7	1	1	0	2	0	3
HDLBP	1401	1553	1621	1304	1667	1211
SEPT2	5829	4383	6382	3932	6493	3754
FARP2	0	0	0	1	0	1
STK25	102	102	48	252	41	369
BOK-AS1	0	0	0	0	0	0
BOK	0	0	0	0	0	0
THAP4	18	20	6	71	5	121
ATG4B	70	97	18	469	14	912
DTYMK	36	11	34	12	34	13
ING5	41	50	19	126	16	187
D2HGDH	35	85	14	251	11	397
GAL3ST2	1	1	1	1	1	1
NEU4	1	0	0	3	0	9
PDCD1	0	2	0	1	0	1
RTP5	0	0	0	0	0	0
LINC01237	27	108	71	34	85	21
LOC102723927	323	970	704	381	817	256
LOC728323	0	0	0	0	0	0
C20orf96	127	317	412	77	515	42
ZCCHC3	2	1	1	3	0	4
NRSN2-AS1	27	2	5	20	3	48
SOX12	135	85	135	85	135	85
NRSN2	285	81	122	223	104	344
TRIB3	1	0	0	1	0	4
RBCK1	55	61	32	115	29	152
TBC1D20	206	527	265	391	278	344
CSNK2A1	1967	1097	2061	1037	2079	1013
SRXN1	1	3	4	1	4	0
FAM110A	0	0	0	0	0	0
PSMF1	5114	2611	5489	2398	5564	2313
TMEM74B	0	1	0	0	0	0
C20orf202	1	0	0	0	0	0
SNPH	0	2	0	2	0	2
SDCBP2-AS1	16	27	14	31	14	33
FKBP1A	805	383	1742	151	2018	102
NSFL1C	314	482	418	342	442	295
SIRPB2	0	29	3	4	4	2
SIRPD	0	0	0	0	0	0
SIRPB1	5	12	21	2	27	0
SIRPG	0	0	0	0	0	0
SIRPG-AS1	0	3	0	0	0	0
LOC100289473	0	0	0	0	0	0
SIRPA	39	204	33	244	32	264
STK35	39	81	30	109	28	124
SNRPB	19	16	23	12	24	11
SNORD119	0	0	0	1	0	2
ZNF343	182	953	368	411	420	287
NOP56	1677	842	1068	1447	980	1820
MIR1292	0	0	0	2	0	3
SNORD110	8	3	2	11	2	19
SNORA51	0	0	0	3	0	6
SNORD56	0	0	0	1	0	2
SNORD57	0	0	0	2	0	3
IDH3B	2023	3817	2507	2951	2612	2645
EBF4	19	26	7	76	6	120
CPXM1	560	490	239	1357	203	2092
C20orf141	1	1	1	0	1	0
PCED1A	51	77	37	114	34	136
VPS16	4	18	12	6	15	3
PTPRA	1235	818	1112	928	1090	979
GNRH2	0	3	0	0	0	0
MRPS26	4	5	5	4	5	4
OXT	0	0	0	1	0	2
AVP	0	0	0	0	0	0
UBOX5-AS1	0	0	0	0	0	0
UBOX5	13	19	16	16	16	14
FASTKD5	55	12	62	11	63	10
LZTS3	0	1	0	7	0	13
DDRGK1	15	4	5	15	4	24
ITPA	24	42	26	37	27	36
SLC4A11	1	0	0	0	0	0
C20orf194	371	903	485	656	510	573
ATRN	639	608	619	632	615	642
GFRA4	1	1	1	0	1	0
ADAM33	1	0	0	0	0	1
SIGLEC1	11	1334	65	173	90	72
HSPA12B	2	0	1	0	1	0
C20orf27	0	3	0	3	0	3
SPEF1	0	0	0	0	0	0
CENPB	0	0	0	0	0	1
CDC25B	79	153	36	387	31	574
LOC101929125	0	12	0	0	0	0
AP5S1	1	8	3	4	3	3
MAVS	1044	1904	885	2322	857	2526
PANK2	159	129	180	111	184	104
MIR103A2	3	6	3	6	3	6
RNF24	103	250	71	389	66	469
SMOX	31	10	6	62	5	132
LINC01433	0	0	0	1	0	2
PRNP	1125	651	680	1192	617	1540
PRND	3	0	3	0	3	0
PRNT	0	0	0	0	0	1
RASSF2	839	837	549	1390	507	1725
SLC23A2	990	1249	703	1882	659	2240
TMEM230	1857	1265	1700	1406	1672	1471
PCNA	223	8	182	10	175	12
CDS2	676	451	487	668	458	790
LOC643406	187	704	294	409	321	325
LINC00654	0	5	0	3	0	3
LOC101929207	0	1	0	0	0	0
GPCPD1	2419	2593	2098	3075	2042	3307
C20orf196	7	22	31	4	40	1
CHGB	0	0	0	0	0	0
TRMT6	446	89	293	147	271	182
MCM8	160	58	140	68	137	73
MCM8-AS1	0	3	0	0	0	0
CRLS1	26	17	28	16	28	15
LRRN4	1	1	0	2	0	3
FERMT1	0	0	0	2	0	3
BMP2	3355	5313	563	45118	400	112004
HAO1	1	1	1	0	1	0
TMX4	169	94	103	169	94	218
PLCB1	3	1	4	1	4	1
PLCB4	0	0	0	0	0	0
LAMP5-AS1	0	0	0	0	0	0
LAMP5	4	0	9	0	10	0
ANKEF1	0	0	0	0	0	0
MKKS	3	1	2	3	1	3
SLX4IP	452	562	718	323	784	255
JAG1	2	82	1	128	1	154
BTBD3	12	2	5	7	4	11
SPTLC3	0	0	0	0	0	0
ISM1	0	0	0	0	0	0
ISM1-AS1	0	0	0	0	0	0
TASP1	10	4	5	10	4	13
ESF1	39	68	61	40	66	32
NDUFAF5	205	434	472	159	554	104
MACROD2	112	5	22	39	16	90
FLRT3	0	1	0	2	0	2
MACROD2-AS1	1	1	1	0	1	0
LOC613266	1	0	0	0	0	0
KIF16B	778	424	561	627	528	740
SNRPB2	220	96	321	61	345	50
PCSK2	1	1	1	0	1	0
BFSP1	0	0	0	0	0	0
DSTN	10	3	6	7	5	9
RRBP1	108	68	41	217	34	353
SNX5	107	99	119	87	121	83
SNORD17	3	17	9	5	11	2
MGME1	436	445	450	428	453	421
PET117	40	0	18	2	15	3
CSRP2BP	16	15	29	7	32	5
ZNF133	9	16	4	35	3	49
DZANK1	0	0	0	0	0	1
POLR3F	18	15	7	43	6	66
MIR3192	0	1	1	0	1	0
RBBP9	8	2	5	4	5	5
SEC23B	446	215	344	293	328	335
LINC00493	12	6	16	4	17	3
DTD1	3	0	1	0	1	0
LOC101929526	0	2	0	0	0	0
LINC00652	0	0	0	0	0	0
LOC100270804	46	0	21	2	18	4
SLC24A3	0	2	0	0	0	0
LOC100130264	0	2	0	0	0	0
RIN2	254	2363	305	1898	316	1729
NAA20	224	59	88	179	74	288
CRNKL1	430	241	454	226	458	220
CFAP61	0	0	0	0	0	0
INSM1	1	0	0	0	0	0
RALGAPA2	1415	1818	1469	1737	1480	1704
KIZ	60	45	24	130	20	204
KIZ-AS1	0	14	2	1	3	0
XRN2	700	367	614	429	599	459
PAX1	1	1	1	0	1	0
LINC00261	1	1	1	0	1	0
THBD	0	0	0	2	0	5
CD93	115	45	41	157	33	265
LINC00656	0	0	0	0	0	1
NXT1	1	1	0	5	0	8
LINC01431	0	0	0	0	0	0
GZF1	6	1	1	13	0	30
NAPB	6	12	5	17	5	19
CST3	197	591	208	555	210	540
CST5	0	0	0	0	0	1
FLJ33581	0	1	0	4	0	8
SYNDIG1	0	0	0	0	0	1
CST7	0	3	0	4	0	4
APMAP	449	951	484	869	491	837
ACSS1	1337	1579	853	2706	783	3402
VSX1	0	0	0	0	0	1
LOC284798	0	0	0	0	0	0
LOC101926889	0	0	0	1	0	2
ENTPD6	380	588	213	1174	191	1575
PYGB	74	58	23	234	18	422
ABHD12	22	26	11	57	9	79
GINS1	1	0	0	0	0	0
NINL	0	0	0	0	0	0
NANP	3	1	1	5	1	7
ZNF337-AS1	63	35	37	67	33	88
